gay2016,gay2020,imm2016,imm2020,temp2016,temp2020,abort2016,abort2020
marry,no,stay,deport,right,less,never,never
marry,marry,stay,stay,more,more,choice,never
no,no,stay,stay,right,right,choice,choice
marry,marry,deport,deport,right,right,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,deport,right,right,need,need
marry,marry,stay,stay,more,more,choice,choice
no,marry,deport,stay,more,more,exceptions,need
marry,marry,stay,stay,right,more,choice,
union,marry,deport,stay,more,,exceptions,exceptions
marry,marry,deport,deport,right,right,choice,choice
marry,marry,citizen,stay,more,more,choice,choice
marry,marry,stay,citizen,more,more,choice,choice
union,union,stay,stay,right,right,need,need
marry,marry,deport,stay,more,more,exceptions,choice
marry,union,stay,stay,right,more,need,need
marry,marry,stay,citizen,more,more,never,
union,union,stay,stay,less,right,exceptions,exceptions
marry,marry,restrict,stay,more,more,choice,choice
union,union,stay,stay,right,right,exceptions,need
marry,marry,restrict,stay,right,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
no,no,stay,stay,more,,never,never
marry,marry,stay,citizen,more,more,exceptions,need
union,union,restrict,stay,right,right,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,no,citizen,stay,more,more,choice,choice
,marry,stay,citizen,right,right,,choice
marry,marry,stay,stay,right,less,need,
union,union,stay,deport,less,less,never,never
no,no,stay,stay,less,more,never,never
marry,marry,stay,citizen,right,more,choice,choice
no,union,stay,stay,,more,choice,
union,union,restrict,restrict,less,right,need,exceptions
union,union,restrict,restrict,less,less,never,never
,union,stay,stay,more,more,need,choice
no,marry,stay,restrict,less,more,never,choice
no,no,stay,restrict,right,right,need,never
marry,marry,stay,citizen,more,more,choice,choice
marry,no,deport,deport,less,right,choice,exceptions
union,union,stay,stay,less,right,exceptions,exceptions
no,no,stay,restrict,less,less,never,never
marry,marry,stay,citizen,more,more,choice,choice
no,no,stay,stay,right,right,need,exceptions
marry,marry,stay,citizen,more,more,need,choice
marry,marry,stay,stay,right,more,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
no,no,deport,stay,less,less,never,never
marry,marry,restrict,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
union,union,stay,deport,less,less,exceptions,exceptions
marry,marry,restrict,restrict,right,more,exceptions,exceptions
marry,marry,stay,stay,right,more,exceptions,exceptions
marry,marry,stay,stay,right,more,need,choice
marry,marry,restrict,stay,right,more,need,
union,union,stay,stay,,less,choice,choice
union,marry,stay,stay,more,more,choice,choice
union,marry,stay,stay,right,right,choice,choice
union,,stay,,more,right,never,
marry,union,stay,citizen,more,more,exceptions,exceptions
marry,marry,stay,stay,more,more,need,choice
marry,marry,stay,citizen,more,more,choice,choice
union,marry,stay,deport,more,more,never,never
marry,marry,stay,,right,more,choice,
marry,marry,stay,citizen,more,more,never,choice
union,marry,stay,restrict,less,right,need,exceptions
union,union,restrict,stay,less,less,exceptions,never
,marry,citizen,stay,less,more,,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,
marry,marry,stay,stay,more,more,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,restrict,restrict,more,right,choice,exceptions
marry,no,stay,stay,,right,,
union,no,deport,restrict,more,right,need,exceptions
marry,marry,restrict,stay,more,right,choice,choice
union,marry,restrict,stay,right,right,choice,choice
marry,marry,citizen,stay,right,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,restrict,stay,more,more,choice,need
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,right,more,need,need
union,marry,stay,restrict,less,right,exceptions,exceptions
